# Energy calculation - Metropolis algorithm
# Total number of throws: M = 1000
# Number of blocks: N = 1000
# Throws per block: L = 1
# Initial position: x0 = 0
# Uniform proposal half-width: delta = 1.2
# Acceptance rate: A = accepted/attempted = 0.502
# Wavefunction parameters: (mu,sigma) = (1, 0.5)
# Columns:
# 1) block index
# 2) block average
# 3) progressive average
# 4) progressive statistical uncertainty
398 0.521065 -0.268714 0.0649977
399 0.521065 -0.266734 0.0648648
400 0.521065 -0.264765 0.0647324
401 0.521065 -0.262805 0.0646005
402 0.521065 -0.260855 0.0644691
403 0.521065 -0.258915 0.0643382
404 0.514888 -0.256999 0.0642073
405 0.514888 -0.255094 0.0640769
406 0.0482956 -0.254346 0.0639233
407 0.0482956 -0.253603 0.0637703
408 0.0482956 -0.252863 0.0636181
409 0.0482956 -0.252126 0.0634667
410 0.467328 -0.250372 0.063336
411 0.467328 -0.248625 0.0632058
412 0.467328 -0.246888 0.0630762
413 -0.436233 -0.247346 0.0629249
414 -0.436233 -0.247802 0.0627744
415 -0.436233 -0.248256 0.0626246
416 -0.0687922 -0.247825 0.0624754
417 -0.229613 -0.247781 0.0623254
418 -0.280261 -0.247859 0.0621762
419 -0.819987 -0.249225 0.0620426
420 -0.265771 -0.249264 0.0618947
421 0.517739 -0.247442 0.0617744
422 0.517739 -0.245629 0.0616545
423 0.280952 -0.244384 0.0615212
424 0.280952 -0.243145 0.0613884
425 0.280952 -0.241912 0.0612562
426 0.280952 -0.240684 0.0611246
427 0.280952 -0.239463 0.0609935
428 0.428886 -0.237901 0.0608709
429 0.428886 -0.236347 0.0607487
430 0.428886 -0.2348 0.060627
431 -0.0330759 -0.234332 0.060488
432 -0.0330759 -0.233866 0.0603496
433 -0.0330759 -0.233402 0.0602119
434 -0.69532 -0.234467 0.0600824
435 -0.69532 -0.235526 0.0599535
436 0.444898 -0.233965 0.0598362
437 0.444898 -0.232412 0.0597193
438 0.444898 -0.230866 0.0596028
439 0.15345 -0.22999 0.0594734
440 -0.670862 -0.230992 0.0593465
441 -0.345501 -0.231252 0.0592123
442 -0.345501 -0.23151 0.0590788
443 -0.74175 -0.232662 0.0589565
444 -0.74175 -0.233809 0.0588348
445 -0.657689 -0.234761 0.0587101
446 0.135724 -0.233931 0.0585842
447 0.135724 -0.233104 0.0584589
448 0.135724 -0.23228 0.0583341
449 0.135724 -0.231461 0.0582098
450 0.135724 -0.230645 0.058086
451 0.148413 -0.229804 0.0579632
452 0.148413 -0.228967 0.0578408
453 0.148413 -0.228134 0.057719
454 0.148413 -0.227305 0.0575977
455 0.148413 -0.226479 0.0574769
456 0.148413 -0.225657 0.0573566
457 0.287795 -0.224534 0.057242
458 0.287795 -0.223415 0.0571278
459 0.287795 -0.222301 0.0570141
460 0.287795 -0.221192 0.0569009
461 0.287795 -0.220088 0.056788
462 0.287795 -0.218989 0.0566756
463 0.359194 -0.21774 0.0565669
464 0.359194 -0.216497 0.0564585
465 0.359194 -0.215259 0.0563506
466 0.359194 -0.214026 0.056243
467 0.528098 -0.212437 0.056145
468 0.528098 -0.210854 0.0560472
469 0.528098 -0.209279 0.0559498
470 -0.521098 -0.209942 0.0558345
471 -0.0255052 -0.209551 0.0557173
472 -1.2079 -0.211666 0.0556393
473 0.120096 -0.210964 0.055526
474 -0.460148 -0.21149 0.0554112
475 0.202564 -0.210618 0.0553013
476 0.202564 -0.20975 0.0551918
477 0.202564 -0.208886 0.0550828
478 0.202564 -0.208025 0.0549742
479 -3.8847 -0.215701 0.0553936
480 -5.99124 -0.227733 0.0565725
481 0.494885 -0.226231 0.0564748
482 0.530203 -0.224662 0.0563793
483 0.530203 -0.223099 0.0562842
484 -0.249494 -0.223153 0.0561678
485 -0.249494 -0.223208 0.0560519
486 0.520098 -0.221678 0.0559573
487 0.520098 -0.220155 0.0558631
488 0.520098 -0.218638 0.0557691
489 0.520098 -0.217127 0.0556755
490 0.217455 -0.216241 0.0555688
491 0.217455 -0.215357 0.0554625
492 0.217455 -0.214478 0.0553567
493 -1.43689 -0.216957 0.0552999
494 -1.43689 -0.219427 0.0552431
495 -1.43689 -0.221886 0.0551862
496 0.487134 -0.220457 0.0550934
497 0.487134 -0.219033 0.0550008
498 0.487134 -0.217615 0.0549086
499 0.487134 -0.216203 0.0548166
500 0.487134 -0.214796 0.054725
501 0.487134 -0.213395 0.0546336
502 0.515861 -0.211942 0.054544
503 -0.0152444 -0.211551 0.0544369
504 -0.0152444 -0.211162 0.0543302
505 -0.500469 -0.211735 0.0542255
506 -0.786949 -0.212871 0.0541302
507 0.0813552 -0.212291 0.0540264
508 0.0813552 -0.211713 0.053923
509 0.0813552 -0.211137 0.0538201
510 -0.713058 -0.212121 0.0537235
511 0.528943 -0.210671 0.0536378
512 0.190973 -0.209887 0.0535387
513 0.190973 -0.209105 0.05344
514 -1.22421 -0.21108 0.0533724
515 0.183975 -0.210313 0.0532742
516 0.183975 -0.209549 0.0531764
517 -0.417391 -0.209951 0.0530749
518 -0.417391 -0.210351 0.0529739
519 0.432659 -0.209112 0.0528862
520 0.432659 -0.207878 0.0527989
521 0.432659 -0.206649 0.0527118
522 0.432659 -0.205424 0.0526249
523 0.432659 -0.204204 0.0525384
524 -1.61423 -0.206895 0.052507
525 0.0680752 -0.206371 0.0524095
526 0.0680752 -0.205849 0.0523124
527 0.0680752 -0.20533 0.0522156
528 0.164237 -0.20463 0.0521214
529 0.164237 -0.203932 0.0520274
530 0.164237 -0.203238 0.0519338
531 0.164237 -0.202546 0.0518405
532 0.164237 -0.201856 0.0517476
533 0.494791 -0.200549 0.0516669
534 0.494791 -0.199247 0.0515865
535 0.494791 -0.19795 0.0515063
536 0.494791 -0.196657 0.0514264
537 0.494791 -0.19537 0.0513467
538 0.494791 -0.194087 0.0512672
539 0.428425 -0.192932 0.051185
540 0.428425 -0.191781 0.0511031
541 -0.146483 -0.191698 0.0510086
