# Mean radius calculation for 1s and 2p (m=0) Hydrogen state - Metropolis algorithm with Gaussian transition probability
# Total number of throws (sampled points): M = 10000000
# Number of blocks: N = 10000
# Throws per block: L = 1000
# 1s state ----------
# Initial position: (x,y,z) = (0, 0, 0)
# Gaussian proposal standard deviation: sigma = 0.75
# Acceptance rate: A = accepted/attempted = 0.505173
# 2p state ----------
# Initial position: (x,y,z) = (0, 0, 1)
# Gaussian proposal standard deviation: sigma = 1.9
# Acceptance rate: A = accepted/attempted = 0.495557
# Columns:
# 1) block index
# 2) block average for 1s state
# 3) progressive average <r> for 1s state
# 4) progressive statistical uncertainty for 1s state
# 5) block average for 2p state
# 6) progressive average <r> for 2p state
# 7) progressive statistical uncertainty for 2p state
263 1.6167 1.50747 0.00739186 5.63304 4.96421 0.0205051
264 1.76009 1.50843 0.00742572 5.18023 4.96503 0.0204437
265 1.8293 1.50964 0.00749608 5.25116 4.96611 0.020395
266 1.4733 1.5095 0.0074691 4.99419 4.96621 0.0203185
267 1.85117 1.51078 0.0075503 5.02196 4.96642 0.0202433
268 1.58583 1.51106 0.00752729 4.83192 4.96592 0.0201739
269 1.42208 1.51073 0.00750654 4.8549 4.96551 0.020103
270 1.55558 1.5109 0.00748053 5.05327 4.96583 0.020031
271 1.44787 1.51067 0.00745651 4.72022 4.96492 0.0199775
272 1.56831 1.51088 0.00743206 5.2343 4.96591 0.0199286
273 1.54609 1.51101 0.00740591 5.73289 4.96872 0.0200532
274 1.32133 1.51032 0.00741124 4.99811 4.96883 0.0199802
275 1.5047 1.51029 0.00738427 4.66103 4.96771 0.0199388
276 1.88213 1.51164 0.00747979 5.06434 4.96806 0.0198695
277 1.61352 1.51201 0.00746181 5.41107 4.96966 0.0198622
278 1.38772 1.51156 0.00744835 4.5346 4.9681 0.0198524
279 1.59316 1.51186 0.00742737 5.04586 4.96838 0.0197831
280 1.26135 1.51096 0.00745468 4.72401 4.9675 0.0197316
281 1.45156 1.51075 0.00743111 5.33717 4.96882 0.0197052
282 1.30855 1.51003 0.00743934 5.10214 4.96929 0.0196409
283 1.54724 1.51016 0.00741418 4.86953 4.96894 0.0195745
284 1.48803 1.51009 0.00738843 5.22113 4.96983 0.0195257
285 1.3732 1.50961 0.00737812 4.60379 4.96854 0.0194994
