# Mean radius calculation for 1s and 2p (m=0) Hydrogen state - Metropolis algorithm with Gaussian transition probability
# Total number of throws (sampled points): M = 2000
# Number of blocks: N = 2000
# Throws per block: L = 1
# 1s state ----------
# Initial position: (x,y,z) = (0, 0, 0)
# Gaussian proposal standard deviation: sigma = 0.75
# Acceptance rate: A = accepted/attempted = 0.494
# 2p state ----------
# Initial position: (x,y,z) = (0, 0, 1)
# Gaussian proposal standard deviation: sigma = 1.9
# Acceptance rate: A = accepted/attempted = 0.4985
# Columns:
# 1) block index
# 2) block average for 1s state
# 3) progressive average <r> for 1s state
# 4) progressive statistical uncertainty for 1s state
# 5) block average for 2p state
# 6) progressive average <r> for 2p state
# 7) progressive statistical uncertainty for 2p state
164 3.66173 1.14531 0.0654947 5.65881 5.66439 0.167869
165 3.82547 1.16156 0.0670925 5.60634 5.66404 0.166849
166 3.33841 1.17467 0.0679642 6.2787 5.66774 0.165882
167 3.33841 1.18763 0.0687873 6.2787 5.6714 0.164926
168 3.33841 1.20043 0.0695648 8.37912 5.68751 0.164732
169 3.33841 1.21308 0.0702996 6.90071 5.69469 0.163912
170 3.33841 1.22558 0.0709943 6.90071 5.70179 0.163099
171 3.33841 1.23794 0.0716512 6.90071 5.7088 0.162294
172 3.33841 1.25015 0.0722727 5.02368 5.70481 0.161397
173 3.5082 1.2632 0.0730296 5.02368 5.70088 0.160509
174 3.5082 1.2761 0.0737461 5.42611 5.6993 0.159592
175 2.31752 1.28206 0.0735645 5.42611 5.69774 0.158685
176 2.10372 1.28672 0.0732942 5.42611 5.69619 0.157788
177 2.10372 1.29134 0.073025 4.35854 5.68864 0.157076
178 2.10372 1.2959 0.0727568 4.35854 5.68116 0.15637
179 1.92809 1.29944 0.0724354 4.35854 5.67378 0.155669
180 1.92809 1.30293 0.0721165 4.35854 5.66647 0.154975
181 1.98112 1.30668 0.0718147 5.91221 5.66783 0.154122
182 1.98112 1.31038 0.0715151 5.53243 5.66708 0.153275
183 2.7287 1.31813 0.0715443 5.53243 5.66635 0.152437
184 1.95837 1.32161 0.0712394 5.53243 5.66562 0.151608
185 1.36631 1.32185 0.0708537 5.63316 5.66544 0.150786
186 1.36631 1.32209 0.0704722 3.96727 5.65631 0.150251
187 1.36631 1.32233 0.0700947 3.96727 5.64728 0.149718
188 0.949607 1.32035 0.069749 4.10664 5.63909 0.149145
189 0.977709 1.31853 0.0694027 4.10664 5.63098 0.148575
190 0.977709 1.31674 0.0690598 4.10664 5.62295 0.148008
191 0.977709 1.31496 0.0687202 4.10664 5.61502 0.147445
192 0.339068 1.30988 0.06855 4.10664 5.60716 0.146886
193 0.339068 1.30485 0.0683792 4.10664 5.59939 0.146329
194 0.854994 1.30253 0.0680653 7.26805 5.60799 0.145827
195 1.23092 1.30216 0.0677163 8.00364 5.62027 0.145596
196 1.45793 1.30296 0.0673746 7.44451 5.62958 0.14515
197 1.45793 1.30375 0.0670364 7.37002 5.63841 0.144682
198 0.760972 1.301 0.0667533 7.37002 5.64716 0.144214
199 0.760972 1.29829 0.0664724 7.37002 5.65582 0.143749
200 1.11765 1.29739 0.0661454 5.72863 5.65618 0.143029
201 1.41314 1.29796 0.065818 5.72863 5.65654 0.142316
202 0.616254 1.29459 0.0655782 6.04824 5.65848 0.141623
203 0.489427 1.29062 0.0653748 6.04824 5.6604 0.140937
204 0.457569 1.28654 0.0651816 4.1502 5.653 0.140439
205 0.492245 1.28266 0.0649785 4.1502 5.64567 0.139945
206 0.401394 1.27839 0.0648037 4.52734 5.64024 0.139369
207 0.401394 1.27415 0.0646288 4.52734 5.63486 0.138799
208 0.401394 1.26995 0.0644541 1.09863 5.61305 0.139841
209 0.401394 1.2658 0.0642794 2.8369 5.59977 0.139803
210 0.401394 1.26168 0.0641049 2.8369 5.58661 0.139756
211 0.401394 1.2576 0.0639305 2.13976 5.57028 0.140048
212 0.941495 1.25611 0.0636457 2.13976 5.5541 0.140322
213 0.941495 1.25464 0.0633634 2.13976 5.53807 0.140578
214 0.941495 1.25317 0.0630836 4.05526 5.53114 0.140091
215 0.941495 1.25172 0.0628062 4.55425 5.52659 0.139512
216 0.941495 1.25029 0.0625313 4.55425 5.52209 0.138938
217 1.04645 1.24935 0.0622496 4.55425 5.51763 0.138368
218 1.04645 1.24842 0.0619703 4.55425 5.51321 0.137803
219 1.04645 1.24749 0.0616936 3.96979 5.50617 0.137353
220 0.455814 1.2439 0.0615179 3.69625 5.49794 0.136975
221 0.59306 1.24095 0.0613097 6.44295 5.50221 0.13642
222 0.59306 1.23803 0.0611026 6.44295 5.50645 0.135871
223 0.59306 1.23514 0.0608967 7.31658 5.51457 0.135503
224 0.59306 1.23227 0.060692 7.54395 5.52363 0.135201
225 0.854494 1.2306 0.0604449 8.17 5.53539 0.135112
226 0.854494 1.22893 0.0601999 4.52383 5.53091 0.134587
227 0.85735 1.22729 0.0599565 4.68494 5.52719 0.134044
228 0.85735 1.22567 0.059715 4.2866 5.52175 0.133566
229 1.25526 1.2258 0.0594538 4.2866 5.51635 0.133091
230 1.25526 1.22593 0.0591948 4.56295 5.51221 0.132576
231 0.925939 1.22463 0.0589523 5.09805 5.51041 0.132013
232 0.925939 1.22334 0.0587118 5.09805 5.50864 0.131455
233 0.925939 1.22207 0.0584732 5.09805 5.50688 0.130901
234 0.800185 1.22026 0.0582507 3.96698 5.50029 0.130506
235 0.800185 1.21848 0.0580298 7.69269 5.50962 0.130284
236 0.800185 1.2167 0.0578106 7.77519 5.51922 0.130086
237 0.800185 1.21495 0.057593 7.77519 5.52874 0.129885
238 1.06182 1.2143 0.0573541 7.77519 5.53818 0.129682
239 1.06182 1.21366 0.0571172 8.82603 5.55194 0.129869
240 1.06182 1.21303 0.0568822 8.82603 5.56558 0.130044
241 1.06182 1.2124 0.0566492 7.27563 5.57268 0.129698
242 1.06182 1.21178 0.056418 7.27563 5.57971 0.129352
243 1.57494 1.21328 0.0562052 4.14769 5.57382 0.128954
244 1.57494 1.21476 0.055994 4.14769 5.56797 0.128557
245 1.57494 1.21623 0.0557844 1.99763 5.5534 0.128858
246 1.57494 1.21769 0.0555763 1.99763 5.53895 0.129144
247 1.04332 1.21698 0.0553553 1.99763 5.52461 0.129417
248 1.04332 1.21628 0.0551361 1.99763 5.51039 0.129676
249 1.04332 1.21559 0.0549186 2.64409 5.49888 0.129667
250 1.04332 1.2149 0.0547029 3.67407 5.49158 0.129353
251 1.04332 1.21421 0.0544888 3.67407 5.48434 0.12904
252 1.04332 1.21354 0.0542764 3.67407 5.47715 0.128727
253 1.04332 1.21286 0.0540656 3.67407 5.47003 0.128416
254 0.860246 1.21147 0.0538702 2.02348 5.45646 0.128627
255 0.860246 1.2101 0.0536762 2.02348 5.44299 0.128827
256 1.20942 1.21009 0.0534661 4.23664 5.43828 0.128409
257 1.97308 1.21306 0.0533404 4.23664 5.43361 0.127994
258 1.97308 1.21601 0.0532148 4.23664 5.42897 0.127581
259 1.97308 1.21893 0.0530895 3.81179 5.42272 0.127241
260 1.97308 1.22183 0.0529644 3.81179 5.41653 0.126902
261 1.98613 1.22476 0.0528423 3.81179 5.41038 0.126564
262 2.64327 1.23018 0.0529179 3.81179 5.40428 0.126228
263 3.33174 1.23817 0.0533185 3.81179 5.39822 0.125893
264 3.33174 1.2461 0.0537048 2.2201 5.38618 0.125991
265 3.33174 1.25397 0.0540776 2.2201 5.37424 0.126082
266 3.39034 1.262 0.0544693 3.98221 5.369 0.125716
267 3.39034 1.26997 0.0548472 3.98221 5.36381 0.125352
268 3.39034 1.27788 0.055212 3.98221 5.35865 0.12499
269 3.39034 1.28573 0.0555641 3.98221 5.35354 0.12463
270 3.39034 1.29353 0.0559041 2.87313 5.34435 0.124506
271 3.39034 1.30127 0.0562322 2.87313 5.33523 0.124381
272 3.44174 1.30914 0.0565751 2.87313 5.32618 0.124253
273 3.44174 1.31695 0.0569062 2.87313 5.31719 0.124123
274 3.44174 1.3247 0.057226 6.13017 5.32016 0.123704
275 3.44174 1.3324 0.0575349 7.52564 5.32818 0.123514
276 2.60256 1.337 0.0575105 7.89144 5.33747 0.123416
277 2.60256 1.34157 0.0574843 7.89144 5.34669 0.123315
278 3.03092 1.34765 0.0575986 8.14215 5.35674 0.123281
279 2.33379 1.35118 0.0575005 10.9884 5.37693 0.124486
280 3.2042 1.3578 0.0576757 10.3255 5.3946 0.125293
281 3.2042 1.36437 0.0578445 10.3255 5.41215 0.126074
282 2.54441 1.36856 0.0577908 11.191 5.43264 0.127286
283 2.54441 1.37271 0.0577359 9.69335 5.4477 0.127726
284 2.54441 1.37684 0.05768 9.69335 5.46265 0.128151
285 2.29151 1.38005 0.0575668 9.69335 5.47749 0.12856
286 1.43899 1.38025 0.0573655 9.69335 5.49223 0.128955
287 1.1636 1.3795 0.0571702 10.6248 5.51012 0.129743
288 1.1636 1.37875 0.0569763 8.762 5.52141 0.129784
289 0.911642 1.37713 0.0568018 7.98435 5.52993 0.129615
290 0.911642 1.37553 0.0566284 6.60901 5.53365 0.129221
291 0.624398 1.37294 0.0564924 6.60901 5.53735 0.128829
292 0.624398 1.37038 0.056357 7.53867 5.5442 0.12857
293 0.624398 1.36784 0.056222 7.53867 5.55101 0.128311
294 0.93688 1.36637 0.0560496 7.53867 5.55777 0.128052
295 0.93688 1.36491 0.0558782 8.0958 5.56637 0.127907
296 0.93688 1.36347 0.0557079 9.7635 5.58055 0.12826
297 0.93688 1.36203 0.0555386 10.3285 5.59654 0.128824
298 0.93688 1.3606 0.0553703 11.325 5.61576 0.129822
299 0.981626 1.35934 0.0551994 11.5252 5.63553 0.130888
300 0.981626 1.35808 0.0550295 12.0701 5.65697 0.132202
301 0.981626 1.35683 0.0548606 12.0701 5.67828 0.133474
302 0.85437 1.35516 0.0547039 12.4778 5.70079 0.134923
303 1.20869 1.35468 0.0545252 12.4231 5.72298 0.136295
304 1.20869 1.3542 0.0543477 12.4231 5.74502 0.137622
305 1.20869 1.35372 0.0541713 12.4231 5.76692 0.138906
306 1.20869 1.35325 0.0539961 12.4231 5.78867 0.14015
307 1.20869 1.35278 0.053822 13.7658 5.81465 0.142089
308 0.565933 1.35022 0.0537077 13.7658 5.84047 0.14396
309 0.565933 1.34769 0.0535938 13.7658 5.86612 0.145768
310 0.565933 1.34516 0.0534801 11.3874 5.88393 0.146384
311 0.565933 1.34266 0.0533667 6.66381 5.88643 0.145935
312 0.417746 1.33969 0.0532779 6.19181 5.88741 0.145469
313 0.417746 1.33675 0.0531891 9.06871 5.89758 0.14536
314 0.417746 1.33382 0.0531001 9.98465 5.91059 0.145479
315 0.417746 1.33091 0.0530111 9.98465 5.92353 0.145592
316 0.417746 1.32802 0.0529221 9.96648 5.93632 0.145694
317 0.417746 1.32515 0.0528329 10.5816 5.95097 0.145971
318 0.417746 1.3223 0.0527438 10.5816 5.96554 0.146238
319 1.16783 1.32181 0.0525804 10.5816 5.98001 0.146495
320 1.7532 1.32316 0.0524332 10.5816 5.99439 0.146743
321 0.628328 1.321 0.0523144 10.5816 6.00868 0.146981
322 0.628328 1.31885 0.052196 9.2277 6.01867 0.146865
323 0.628328 1.31671 0.052078 9.03362 6.02801 0.146707
324 0.628328 1.31458 0.0519605 9.03362 6.03728 0.146547
325 0.628328 1.31247 0.0518434 11.9018 6.05533 0.147206
326 0.628328 1.31037 0.0517267 11.9018 6.07326 0.147845
327 0.628328 1.30829 0.0516105 11.9018 6.09109 0.148466
328 0.628328 1.30621 0.0514946 11.3166 6.10702 0.148868
329 0.628328 1.30415 0.0513792 11.8661 6.12452 0.149443
330 0.628328 1.30211 0.0512642 11.8661 6.14192 0.150002
331 0.628328 1.30007 0.0511496 11.8661 6.15922 0.150545
332 0.628328 1.29805 0.0510354 11.8661 6.17641 0.151072
333 0.628328 1.29604 0.0509217 8.62242 6.18375 0.150797
334 0.598672 1.29395 0.0508119 8.62242 6.19105 0.150522
335 0.737619 1.29229 0.0506872 8.54684 6.19808 0.150236
336 0.737619 1.29064 0.0505631 9.74726 6.20865 0.15016
337 1.45217 1.29112 0.0504151 10.2192 6.22055 0.150186
338 1.45217 1.29159 0.050268 8.89625 6.22846 0.149951
339 1.05495 1.29089 0.0501243 8.89625 6.23633 0.149715
340 1.05495 1.2902 0.0499815 8.89625 6.24416 0.149478
341 1.24125 1.29006 0.0498349 7.04041 6.24649 0.149058
342 1.24125 1.28991 0.0496892 6.06558 6.24596 0.148622
343 2.17049 1.29248 0.0496106 8.53316 6.25263 0.148338
344 2.17049 1.29503 0.049532 8.53316 6.25926 0.148055
345 2.39613 1.29823 0.0494912 8.53316 6.26585 0.147772
346 2.61519 1.30203 0.0494945 8.53316 6.2724 0.14749
347 2.61519 1.30582 0.0494966 10.0522 6.2833 0.147467
348 2.61519 1.30958 0.0494973 9.09688 6.29138 0.147265
349 2.61519 1.31332 0.0494969 9.09688 6.29942 0.147062
350 2.61519 1.31704 0.0494952 6.62477 6.30035 0.146644
351 1.89595 1.31869 0.0493816 8.29031 6.30602 0.146336
352 1.89595 1.32033 0.0492684 8.29031 6.31166 0.146028
353 1.89595 1.32196 0.0491557 8.29031 6.31726 0.145722
354 0.872451 1.32069 0.0490331 8.29031 6.32284 0.145417
355 0.872451 1.31943 0.048911 7.15385 6.32518 0.145025
356 1.58617 1.32018 0.0487792 7.38347 6.32815 0.144648
357 0.972707 1.3192 0.0486521 8.15883 6.33328 0.144333
358 0.741028 1.31759 0.0485429 9.42411 6.34191 0.144188
359 0.738002 1.31597 0.0484344 10.3251 6.35301 0.144214
360 0.738002 1.31437 0.0483264 11.0302 6.366 0.144398
361 0.738002 1.31277 0.0482187 11.4962 6.38021 0.144697
362 1.00696 1.31193 0.0480928 12.1867 6.39625 0.145186
363 1.00696 1.31109 0.0479675 12.1867 6.4122 0.145661
364 0.825704 1.30975 0.0478541 12.1867 6.42807 0.146124
365 1.41293 1.31004 0.0477236 11.2849 6.44137 0.146329
366 0.710796 1.3084 0.0476212 10.3993 6.45219 0.146329
367 0.710796 1.30677 0.0475192 10.3993 6.46294 0.146326
368 0.710796 1.30515 0.0474176 10.9776 6.47521 0.146442
369 0.710796 1.30354 0.0473163 12.1857 6.49068 0.146863
370 0.710796 1.30194 0.0472154 12.1857 6.50608 0.147272
371 0.710796 1.30034 0.0471149 8.73322 6.51208 0.146997
372 0.710796 1.29876 0.0470148 7.97676 6.51602 0.146654
373 0.710796 1.29718 0.0469151 7.97676 6.51993 0.146313
374 0.710796 1.29562 0.0468158 7.97676 6.52383 0.145973
375 0.710796 1.29406 0.0467168 7.97676 6.5277 0.145635
376 0.710796 1.2925 0.0466182 5.68077 6.52545 0.145264
377 0.710796 1.29096 0.04652 5.58437 6.52295 0.1449
378 0.69901 1.2894 0.0464232 3.91484 6.51605 0.144681
379 0.69901 1.28784 0.0463267 3.20427 6.50732 0.144563
380 0.649447 1.28616 0.0462352 4.9039 6.5031 0.144244
381 0.649447 1.28449 0.0461439 4.31034 6.49734 0.14398
382 0.586112 1.28266 0.0460593 4.31034 6.49162 0.143716
