# Mean radius calculation for 1s and 2p (m=0) Hydrogen state - Metropolis algorithm with uniform transition probability
# Total number of throws (sampled points): M = 2000
# Number of blocks: N = 2000
# Throws per block: L = 1
# 1s state ----------
# Initial position: (x,y,z) = (0, 0, 0)
# Uniform proposal half-width (cube side = 2a): a = 1.2
# Acceptance rate: A = accepted/attempted = 0.5235
# 2p state ----------
# Initial position: (x,y,z) = (0, 0, 1)
# Uniform proposal half-width (cube side = 2a): a = 3
# Acceptance rate: A = accepted/attempted = 0.509
# Columns:
# 1) block index
# 2) block average for 1s state
# 3) progressive average <r> for 1s state
# 4) progressive statistical uncertainty for 1s state
# 5) block average for 2p state
# 6) progressive average <r> for 2p state
# 7) progressive statistical uncertainty for 2p state
282 0.704393 1.42168 0.0465998 7.06785 4.44313 0.127483
283 0.917205 1.4199 0.046469 7.06785 4.45241 0.127369
284 1.0057 1.41844 0.0463281 9.06196 4.46864 0.127954
285 1.0057 1.41699 0.0461879 8.72551 4.48357 0.128376
286 1.0057 1.41555 0.0460486 6.42438 4.49036 0.128106
287 1.18774 1.41476 0.0458948 6.56709 4.4976 0.127864
288 1.53602 1.41518 0.0457371 6.56709 4.50478 0.127622
289 2.34664 1.4184 0.0456923 7.65052 4.51567 0.127644
290 2.34664 1.4216 0.0456469 7.31039 4.5253 0.127568
291 2.44964 1.42514 0.0456267 7.31039 4.53487 0.127488
292 2.44964 1.42865 0.0456053 6.45365 4.54144 0.127221
293 1.89346 1.43023 0.0454771 5.56342 4.54493 0.126834
294 1.89346 1.43181 0.0453495 5.96605 4.54977 0.126494
295 1.89346 1.43337 0.0452226 5.96605 4.55457 0.126156
296 1.89346 1.43493 0.0450964 5.96605 4.55934 0.12582
297 1.89346 1.43647 0.0449708 5.96605 4.56407 0.125485
298 1.89346 1.438 0.0448459 4.89303 4.56518 0.125068
299 1.89346 1.43953 0.0447216 4.97629 4.56655 0.124656
300 1.89346 1.44104 0.0445979 4.97629 4.56792 0.124248
301 0.815173 1.43896 0.0444981 3.83323 4.56548 0.123858
302 0.815173 1.4369 0.0443986 4.89201 4.56656 0.123452
303 0.749117 1.43463 0.04431 6.40998 4.57264 0.123194
304 0.543235 1.43169 0.0442613 6.40998 4.57869 0.122937
305 0.543235 1.42878 0.044212 4.90769 4.57976 0.122538
306 0.184991 1.42472 0.0442543 4.85558 4.58067 0.12214
307 0.184991 1.42068 0.0442944 4.85558 4.58156 0.121745
308 0.184991 1.41667 0.0443322 4.85558 4.58245 0.121352
309 1.57478 1.41718 0.0441915 4.85558 4.58333 0.120962
310 1.15871 1.41634 0.0440566 4.85558 4.58421 0.120575
311 1.15871 1.41552 0.0439225 4.85558 4.58509 0.120189
312 1.71577 1.41648 0.0437921 6.19059 4.59023 0.119914
313 1.71577 1.41743 0.0436624 5.49721 4.59313 0.119565
314 1.23815 1.41686 0.0435269 5.49721 4.59601 0.119219
315 1.39496 1.41679 0.0433886 5.49721 4.59887 0.118874
316 1.39496 1.41673 0.0432511 5.49721 4.60171 0.118532
317 1.39496 1.41666 0.0431145 6.70448 4.60835 0.118343
318 1.39496 1.41659 0.0429788 6.70448 4.61494 0.118154
319 1.39496 1.41652 0.0428439 6.70448 4.62149 0.117965
320 1.53559 1.41689 0.0427114 3.81179 4.61896 0.117623
321 1.53559 1.41726 0.0425797 3.81179 4.61644 0.117283
322 0.734795 1.41514 0.0425002 3.81179 4.61394 0.116945
323 0.734795 1.41304 0.0424207 4.0721 4.61227 0.116595
324 1.4019 1.413 0.0422896 4.56429 4.61212 0.116234
325 1.4019 1.41297 0.0421593 4.56429 4.61197 0.115876
326 1.20626 1.41233 0.0420346 4.56429 4.61182 0.11552
327 0.709566 1.41018 0.0419609 4.56429 4.61168 0.115167
328 0.709566 1.40805 0.0418873 4.26304 4.61062 0.11482
329 0.709566 1.40593 0.0418137 4.26304 4.60956 0.114475
330 0.709566 1.40382 0.0417401 4.9855 4.6107 0.114134
331 0.709566 1.40172 0.0416667 2.7403 4.60505 0.113928
332 0.942621 1.40034 0.041564 3.16621 4.60071 0.113667
333 0.730466 1.39832 0.0414878 3.16621 4.59641 0.113407
334 0.730466 1.39632 0.0414117 3.16621 4.59212 0.113148
335 0.730466 1.39434 0.0413357 3.16621 4.58787 0.11289
336 0.593649 1.39195 0.0412813 3.16621 4.58364 0.112633
337 0.451976 1.38916 0.0412531 3.16621 4.57943 0.112377
338 0.451976 1.38639 0.0412242 3.16621 4.57525 0.112122
339 0.782557 1.38461 0.041141 3.16621 4.57109 0.111868
340 0.782557 1.38284 0.041058 5.33877 4.57335 0.111562
341 2.001 1.38465 0.0409775 5.9054 4.57726 0.111303
342 2.001 1.38645 0.0408973 7.22078 4.58499 0.111246
343 2.2695 1.38903 0.040859 6.71441 4.5912 0.111094
344 2.2695 1.39159 0.0408204 8.30362 4.60199 0.111295
345 1.84681 1.39291 0.0407233 10.4828 4.61903 0.112274
346 2.00583 1.39468 0.0406441 10.655 4.63648 0.1133
347 2.00583 1.39644 0.040565 10.655 4.65382 0.114297
348 2.00583 1.39819 0.0404862 11.6361 4.67389 0.11572
349 2.00583 1.39993 0.0404075 9.9165 4.68891 0.116362
350 2.2549 1.40238 0.0403659 9.9165 4.70384 0.116987
351 1.97079 1.40399 0.0402833 9.03352 4.71618 0.117303
352 1.68112 1.40478 0.0401764 9.03352 4.72844 0.117611
353 1.68112 1.40556 0.0400701 9.03352 4.74064 0.117909
354 1.68112 1.40634 0.0399643 9.03352 4.75277 0.1182
355 1.68112 1.40712 0.0398591 9.74994 4.76684 0.118704
356 2.3858 1.40987 0.0398419 9.74994 4.78084 0.119195
357 2.3858 1.4126 0.0398241 6.75553 4.78637 0.118989
358 2.78912 1.41645 0.0398984 6.75553 4.79187 0.118783
359 2.24022 1.41874 0.0398532 6.75553 4.79734 0.118578
360 1.83893 1.41991 0.0397595 8.77703 4.8084 0.118764
361 2.04422 1.42164 0.0396869 8.1666 4.8177 0.118799
362 2.04422 1.42336 0.0396145 7.30837 4.82458 0.11867
363 2.80446 1.42716 0.039688 7.63497 4.83232 0.118596
364 2.80446 1.43094 0.0397593 4.94379 4.83263 0.11827
365 2.80446 1.43471 0.0398283 4.94379 4.83293 0.117946
366 2.3208 1.43713 0.0397931 5.5246 4.83482 0.117639
367 2.86869 1.44103 0.0398758 5.5246 4.8367 0.117333
368 2.86869 1.44491 0.039956 5.5246 4.83857 0.117028
369 3.23106 1.44975 0.0401405 5.5246 4.84043 0.116726
370 3.86541 1.45628 0.0405608 6.70527 4.84547 0.116519
371 3.86541 1.46277 0.0409692 6.64499 4.85032 0.116305
372 3.19948 1.46744 0.0411248 6.06804 4.85359 0.116039
373 2.46012 1.4701 0.0411006 6.06804 4.85685 0.115773
374 2.03228 1.47161 0.0410181 6.06804 4.86009 0.115508
375 2.03228 1.4731 0.0409359 6.25816 4.86382 0.11526
376 2.03228 1.47459 0.040854 4.94751 4.86404 0.114953
377 2.03228 1.47607 0.0407723 4.29494 4.86253 0.114658
378 2.03228 1.47754 0.0406909 4.29494 4.86103 0.114364
379 2.03228 1.479 0.0406098 4.29494 4.85953 0.114072
380 2.91246 1.48277 0.0406781 4.29494 4.85805 0.113781
381 3.4828 1.48802 0.0409094 3.75946 4.85517 0.113518
382 3.52319 1.49335 0.0411485 4.56807 4.85441 0.113223
383 2.78767 1.49673 0.0411798 3.06981 4.84975 0.113023
384 2.78767 1.50009 0.0412098 3.06981 4.84512 0.112824
